거래일자,N,연속,누적,종목코드,종목명,현재가,등락률,거래량,시가,고가,저가,PER
20250123,1.0,1.0,1.0,014160,대영포장,2245.0,29.77,75855240.0,1782.0,2245.0,1748.0,68.03
20250123,2.0,1.0,1.0,014710,사조씨푸드,5730.0,29.78,4041010.0,4415.0,5730.0,4365.0,60.96
20250123,3.0,1.0,1.0,090080,평화산업,1263.0,29.94,15495382.0,1150.0,1263.0,1072.0,63.15
20250123,4.0,1.0,1.0,010770,평화홀딩스,3965.0,30.0,5760133.0,3350.0,3965.0,3150.0,-6.69
20250123,1.0,1.0,1.0,331520,밸로프,833.0,29.95,25081673.0,702.0,833.0,700.0,277.67
20250123,2.0,1.0,1.0,008290,원풍물산,575.0,29.8,5436176.0,443.0,575.0,443.0,-5.09
