거래일자,N,연속,누적,종목코드,종목명,현재가,등락률,거래량,시가,고가,저가,PER
20250108,1.0,1.0,1.0,005800,신영와코루,12350.0,30.0,1348914.0,10400.0,12350.0,10200.0,41.58
20250108,2.0,1.0,1.0,006660,삼성공조,12200.0,29.93,8027208.0,10220.0,12200.0,9730.0,8.89
20250108,1.0,1.0,1.0,187660,현대ADM,2455.0,29.89,10638116.0,1862.0,2455.0,1833.0,-5.8
20250108,2.0,1.0,1.0,052460,아이크래프트,3190.0,29.94,13170025.0,2365.0,3190.0,2295.0,24.54
20250108,3.0,1.0,1.0,221800,유투바이오,3730.0,29.97,8496553.0,2905.0,3730.0,2905.0,59.21
20250108,4.0,1.0,1.0,038530,케이바이오,293.0,29.65,28974607.0,229.0,293.0,227.0,20.93
20250108,5.0,1.0,1.0,188260,세니젠,3620.0,29.98,595830.0,2900.0,3620.0,2860.0,-2.71
20250108,6.0,2.0,2.0,060240,스타코링크,752.0,29.88,255529.0,752.0,752.0,752.0,-1.5
