거래일자,N,연속,누적,종목코드,종목명,현재가,등락률,거래량,시가,고가,저가,PER
20250116,1.0,1.0,1.0,411080,샌즈랩,9510.0,29.92,6419678.0,7410.0,9510.0,7380.0,-594.38
20250116,2.0,1.0,1.0,384470,코어라인소프트,7670.0,30.0,504281.0,5910.0,7670.0,5910.0,-7.79
20250116,3.0,1.0,2.0,434480,모니터랩,5380.0,29.79,11845515.0,4240.0,5380.0,4220.0,57.85
20250116,4.0,2.0,2.0,312610,에이에프더블류,2020.0,29.74,99138.0,2020.0,2020.0,2020.0,-7.43
20250116,5.0,1.0,1.0,229000,젠큐릭스,2280.0,29.84,5071347.0,1766.0,2280.0,1766.0,-2.6
20250116,6.0,1.0,1.0,093380,풍강,3235.0,29.92,2433855.0,2545.0,3235.0,2545.0,-26.3
