거래일자,N,연속,누적,종목코드,종목명,현재가,등락률,거래량,시가,고가,저가,PER
20241230,1.0,1.0,5.0,002630,오리엔트바이오,1547.0,30.0,45442472.0,1213.0,1547.0,1211.0,55.25
20241230,2.0,1.0,2.0,077500,유니퀘스트,6650.0,29.88,4757697.0,5010.0,6650.0,5010.0,11.49
20241230,1.0,1.0,1.0,448280,에코아이,24400.0,29.79,604868.0,18800.0,24400.0,18800.0,12.5
20241230,2.0,1.0,7.0,049180,셀루메드,2540.0,29.79,1862308.0,2170.0,2540.0,2125.0,-3.82
20241230,3.0,1.0,2.0,140670,알에스오토메이션,14000.0,29.99,5220198.0,11000.0,14000.0,10870.0,-15.8
20241230,4.0,1.0,1.0,066310,큐에스아이,10370.0,29.95,3272175.0,8250.0,10370.0,8230.0,102.67
