거래일자,N,연속,누적,종목코드,종목명,현재가,등락률,거래량,시가,고가,저가,PER
20250109,1.0,1.0,1.0,013700,까뮤이앤씨,1713.0,29.97,16535801.0,1325.0,1713.0,1311.0,-13.6
20250109,2.0,1.0,1.0,044380,주연테크,416.0,30.0,5557766.0,320.0,416.0,320.0,-8.0
20250109,1.0,1.0,2.0,160190,하이젠알앤엠,21450.0,30.0,4523537.0,16380.0,21450.0,15600.0,404.72
20250109,2.0,1.0,1.0,040910,아이씨디,6630.0,30.0,6457335.0,5380.0,6630.0,5200.0,-5.45
20250109,3.0,1.0,1.0,089790,제이티,5810.0,29.83,9518464.0,4745.0,5810.0,4570.0,14.86
20250109,4.0,1.0,1.0,032680,소프트센,399.0,29.97,35107775.0,304.0,399.0,301.0,-6.23
