거래일자,N,연속,누적,종목코드,종목명,현재가,등락률,거래량,시가,고가,저가,PER
20250103,1.0,1.0,1.0,158430,아톤,7990.0,29.92,26143058.0,6310.0,7990.0,6240.0,12.22
20250103,2.0,1.0,1.0,417500,제이아이테크,4045.0,29.86,9891682.0,3110.0,4045.0,3075.0,18.64
20250103,3.0,1.0,1.0,038880,아이에이,254.0,29.59,12387114.0,205.0,254.0,205.0,-3.63
20250103,4.0,2.0,2.0,062970,한국첨단소재,7210.0,29.91,4575943.0,6420.0,7210.0,6110.0,-13.66
20250103,5.0,1.0,1.0,123010,아이윈플러스,1493.0,29.94,6212680.0,1195.0,1493.0,1170.0,-5.43
20250103,6.0,1.0,1.0,208710,바이오로그디바이스,552.0,29.88,7298264.0,428.0,552.0,424.0,-2.22
